City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,albany,42.6001,-73.9662,64.35,33,0,6.38,US,1723510822
84,talnakh,69.4865,88.3972,62.02,55,100,3.78,RU,1723510984
85,birjand,32.8663,59.2211,70.27,23,0,6.91,IR,1723510985
86,thompson,55.7435,-97.8558,84.36,37,0,5.75,CA,1723510986
87,puerto ayora,-0.7393,-90.3518,68.56,97,87,5.99,EC,1723510987
88,olonkinbyen,70.9221,-8.7187,42.28,91,100,15.84,SJ,1723510989
89,nemuro,43.3236,145.575,66.38,99,100,10.83,JP,1723510990
90,fort bragg,35.139,-79.006,78.64,84,40,0.0,US,1723510991
91,sinabang,2.4803,96.3801,80.28,80,21,1.25,ID,1723510992
92,hithadhoo,-0.6,73.0833,82.49,75,100,16.4,MV,1723510993
93,quang ngai,15.1167,108.8,87.08,59,100,4.36,VN,1723510994
94,jamestown,42.097,-79.2353,64.04,82,75,6.91,US,1723510995
95,baiyin,36.5583,104.2081,72.95,39,12,3.65,CN,1723510996
96,hawaiian paradise park,19.5933,-154.9731,85.73,75,0,9.22,US,1723510997
97,labytnangi,66.6572,66.4183,53.85,85,100,13.51,RU,1723510999
98,hasaki,35.7333,140.8333,84.27,77,100,7.36,JP,1723511000
99,tazovsky,67.4667,78.7,51.53,98,100,1.54,RU,1723511001
100,st. paul,44.9444,-93.0933,77.47,51,0,3.44,US,1723510827
101,essaouira,31.5125,-9.77,74.7,73,4,4.61,MA,1723511003
102,oum hadjer,13.2954,19.6966,75.72,87,100,7.25,TD,1723511004
103,bethel,41.3712,-73.414,67.01,78,0,1.99,US,1723510775
104,ponta delgada,37.7333,-25.6667,70.52,78,20,4.61,PT,1723510805
105,glace bay,46.1969,-59.957,68.9,81,75,6.91,CA,1723510900
106,al qubbah,32.7616,22.2424,69.73,88,1,14.63,LY,1723511008
107,rabo de peixe,37.8,-25.5833,69.31,64,20,4.61,PT,1723511010
108,tual,-5.6667,132.75,77.61,83,63,18.72,ID,1723511011
109,lumut,4.2323,100.6298,78.82,89,20,1.14,MY,1723511012
110,motueka,-41.1333,173.0167,52.02,52,13,4.38,NZ,1723511013
111,toamasina,-18.1667,49.3833,64.4,94,20,0.0,MG,1723511014
112,udachny,66.4167,112.4,39.76,87,100,17.13,RU,1723510893
113,mokshan,53.4365,44.6132,54.88,86,100,19.06,RU,1723511016
114,roma,43.2128,-75.4557,62.74,90,20,3.44,US,1723511017
115,pingliang,35.5392,106.6861,73.06,56,2,4.54,CN,1723511019
116,lihue,21.9789,-159.3672,83.35,74,40,11.5,US,1723511020
117,tabuk,17.4189,121.4443,80.55,82,100,2.33,PH,1723511021
118,whitehorse,60.7161,-135.0538,68.77,40,40,8.05,CA,1723510975
119,barro alto,-11.7608,-41.9117,74.05,52,0,3.58,BR,1723511023
120,kristiansund,63.1115,7.732,57.85,72,100,5.75,NO,1723511024
121,ghadamis,30.1337,9.5007,85.91,25,0,7.16,LY,1723511025
122,chinde,26.8212,87.7095,77.38,86,99,2.46,NP,1723511026
123,as sulayyil,20.4607,45.5779,91.11,18,100,4.81,SA,1723511027
124,ryotsu-minato,38.0833,138.4333,82.08,82,26,1.57,JP,1723511029
125,saint-philippe,-21.3585,55.7679,70.16,70,44,12.12,RE,1723511030
126,edinburgh of the seven seas,-37.0676,-12.3116,52.61,63,35,4.21,SH,1723511031
127,chonchi,-42.6128,-73.8092,47.66,99,100,3.02,CL,1723511032
128,nuriootpa,-34.4833,139.0,67.91,35,0,13.49,AU,1723511033
129,mumford,5.2618,-0.759,74.44,93,100,11.54,GH,1723511034
130,buenavista del norte,28.3746,-16.861,77.27,72,12,22.08,ES,1723511035
131,nova olimpia,-14.7972,-57.2881,66.6,31,5,1.34,BR,1723510962
132,revda,56.801,59.9303,50.16,98,16,3.74,RU,1723511037
133,karatuzskoye,53.6072,92.8667,61.09,78,100,0.34,RU,1723511038
134,al bawiti,28.3492,28.8659,84.04,31,0,6.69,EG,1723511040
135,nuuk,64.1835,-51.7216,56.01,47,20,5.75,GL,1723511041
136,remire-montjoly,4.9167,-52.2667,78.84,83,0,3.44,GF,1723511042
137,lafiagi,8.8667,5.4167,74.01,95,100,4.41,NG,1723511043
138,altamira,-3.2033,-52.2064,72.01,96,0,3.53,BR,1723511044
139,itupiranga,-5.1347,-49.3267,77.18,74,43,3.33,BR,1723510851
140,meru,0.0463,37.6559,59.58,84,69,2.77,KE,1723511046
141,gamba,-2.65,10.0,71.65,93,83,6.15,GA,1723511047
142,codrington,-38.2667,141.9667,61.75,64,100,18.19,AU,1723511049
143,progreso,21.2833,-89.6667,82.96,93,25,13.04,MX,1723511050
144,stanley,54.868,-1.6985,51.19,92,0,1.14,GB,1723511051
145,vila velha,-20.3297,-40.2925,69.94,81,75,13.0,BR,1723511052
146,saint george's,12.0564,-61.7485,80.28,89,40,11.5,GD,1723511053
147,san fernando,15.0286,120.6898,85.78,69,100,1.01,PH,1723511054
148,lomnice nad popelkou,50.5306,15.3734,62.56,75,100,2.66,CZ,1723511055
149,utrik,11.2278,169.8474,78.4,88,100,10.76,MH,1723511056
150,mar del plata,-38.0023,-57.5575,47.12,73,0,13.0,AR,1723511057
151,rajapur,25.3833,81.15,82.51,84,12,5.03,IN,1723511059
152,mount pearl,47.5166,-52.7813,67.14,87,20,19.57,CA,1723511060
153,urangan,-25.3,152.9,66.63,93,100,26.31,AU,1723511061
154,las palmas,28.4204,-14.0131,70.59,83,75,16.11,ES,1723511063
155,hermanus,-34.4187,19.2345,53.53,75,100,4.68,ZA,1723511064
156,westport,41.1415,-73.3579,69.57,81,0,4.61,US,1723511065
157,omutinskiy,56.4745,67.6709,56.17,95,100,10.36,RU,1723511066
158,nikolayevsk-on-amure,53.1406,140.73,62.55,91,100,3.0,RU,1723511067
159,papatowai,-46.5619,169.4708,52.9,62,100,8.23,NZ,1723511070
160,volksrust,-27.3654,29.8818,42.08,91,14,4.25,ZA,1723511071
